id	url	title	abstract	subject
68849	http://scholarworks.montana.edu/xmlui/handle/1/1002	Chasing the dream : literature and regional construction in California's Great Central Valley	"As a region, California's Great Central Valley can be defined through the physical and cultural characteristics assigned to the space by its residents. Not unlike the larger regions of which it is part, the Valley's cultural landscapes have long been constructed as sites of wealth, fertile ground, and opportunity. Drawn to the region's myriad promises and possibilities, populations moving into and within the region often search for their part in a frequently elusive California Dream. Yet as with any place, the lived experience of the Valley's residents is often far removed from the construction of the region as a land of prosperity and mobility. Tracing the various constructions of region in the Great Central Valley requires an understanding of cultural and regional identity as complex and multifaceted. No two individuals experience the landscapes they inhabit in the same way; as a result, any attempt to define a unitary regional identity in the Valley is ultimately problematic. Despite the diverse experiences and interpretations of the Valley and its inhabitants, many overlapping themes emerge, resulting in what I call a ""regional imaginary'-a set of meanings assigned to a region by its residents. Although many methods exist by which to explore and tentatively define the idea of a regional imaginary in the Central Valley, one of the most productive involves utilizing critical regional approaches to literature and other narrative works. By examining the many novels, poems, and other narratives written about the Valley, the various cultural, historical, and natural forces that converge and conflict in the Valley's landscapes may begin to come into focus."	['philology', 'authorship', 'united states--literatures', 'history', 'criticism', 'literature', 'american literature', 'rhetoric']
68850	http://scholarworks.montana.edu/xmlui/handle/1/10029	The effects of cooperative learning structures on traditional instruction in a middle school science classroom	Three middle school earth science classes, with 87 students, were the focus study on the effect of incorporating cooperative learning structures within traditional teacher-centered instruction. Of particular interest were the effects of cooperative learning structures on student engagement, attitudes towards Science 8 class, and understanding of middle school earth science concepts. In addition, teacher pedagogy and attitude towards teaching middle school earth science were monitored. Two non-treatment units utilizing traditional 'lecture-lab' teacher-centered instruction were compared to two treatment units which incorporated three cooperative learning structures: Think-Pair-Share, Gallery Walk, and Jigsaw. Results indicated a slight improvement in student engagement, though a more dramatic increase in peer interactions. In addition, student's and teacher's attitude toward Science 8 increased. Results did not indicate improvement in students understanding of middle school earth science concepts. However, cooperative learning structures were found to be an effective and meaningful way to provide opportunities for students to develop positive peer relationships. These relationships ultimately led to a student-centered classroom.	['persons', 'middle school students', 'students']
68851	http://scholarworks.montana.edu/xmlui/handle/1/1003	Soil water flow and irrigated soil water balance in response to Powder River Basin coalbed methane product water	A repacked soil columns experiment and a series of computer soil water balance simulations were conducted to examine potential impacts of coalbed methane (CBM) water from Montanaαs Powder River Basin (PRB) on soil water flow and water balance in PRB soils. CBM water is often high in sodium, which may separate soil clay particles, particularly after soil exposure to low-salinity rainfall or snowmelt, and when soils contain expansible smectite clay minerals. Aggregates in soils exposed to sodic water may swell and slake, and clays and other fine particles may disperse, clogging soil pores and slowing or preventing soil water flow. In the soil columns experiment, A and B horizon materials from sandy loam, silt loam, and clay loam soils were pre-treated with water having salinity and sodicity typical of PRB CBM water or of Powder River (PR) water currently used for irrigation in the basin. Tension infiltrometer measurements were used to determine infiltration flux, first using pre-treatment water, and subsequently deionized (DI) water, simulating rainwater. Measurements were compared by pre-treatment water, horizon, and soil type. Under pre-treatment water testing, the sandy loam and clay loam soils pre-treated with CBM water exhibited smaller infiltration flux values than when pre-treated with PR water. Only the sandy loam soil showed a greater decrease in infiltration flux with DI water on soils pre-treated with CBM relative to PR water pre-treated soils. There was no difference in infiltration flux decrease with DI water between A and B horizon soils, or between smectite and non-smectite soils. The soil water balance numerical simulations modeled potential effects of sodic irrigation waters on sandy loam, silt loam, clay loam and silty clay PRB soils under sprinkler or flood irrigation, during one growing season. Baseline soil water retention functions were constructed for the five soils, and adjusted via trends identified in the literature to create five additional functions for each soil, simulating exposure to five increasingly sodic irrigation waters. Simulation results showed greater impact of sodic irrigation under flood than sprinkler irrigation. The fine sandy loam and silty clay loam soils exhibited the fewest changes in water balance partitioning, while the silt loam and silty clay soils showed the greatest changes, especially in increased runoff and reduced transpiration.	['irrigation']
68852	http://scholarworks.montana.edu/xmlui/handle/1/10030	Improving the urban youth experience in outdoor science education through improved teacher training techniques	This research describes the needs assessment phase for the promotion of a new training module for the Yellowstone Association Institute. This assessment explores how a new training module for teaching urban youth groups and underserved youth groups could create more effective instructors. In order to identify best practices for teaching to this demographic, five instruments were employed to survey and interview administrators, instructor staff and leading experts in this field. The literature review revealed that students achieve more when provided with a safe learning environment where they are valued as individuals, and where the teaching methods employed are student centered. The literature supports that students often become more confident, respectful and excited about science when allowed to learn and explore in an outdoor setting. The literature suggests that students will build a strong connection to nature only if they are provided with opportunities to develop their own sense of place within that new environment. The research gathered in this needs assessment suggests that a successful training module is one which promotes a culture of caring and respect, teaches instructors cultural awareness and develops their cultural competence. It should encourage effective communication and provide practical advice for successfully identifying and meeting the educational needs of urban youth and underserved youth, learning in an outdoor setting.	['maturation (psychology)', 'philosophical anthropology', 'theological anthropology', 'developmental psychology', 'science', 'theology', 'humanities', 'christianity', 'theology, doctrinal', 'auxiliary sciences of history', 'human growth', 'religions', 'philosophy and civilization', 'developmental psychobiology', 'youth', 'eschatology', 'physiology', 'morphology (animals)', 'biology', 'psychology', 'morphology', 'life cycle, human', 'soul', 'zoology', 'ontology', 'future life', 'civilization', 'life cycles (biology)', 'life sciences', 'developmental biology', 'religious thought', 'anatomy, comparative', 'life', 'civilization--philosophy', 'life (biology)', 'intellectual life', 'age groups', 'culture', 'social groups', 'natural history', 'learning and scholarship', 'human biology', 'religion', 'growth', 'philosophy']
68853	http://scholarworks.montana.edu/xmlui/handle/1/10031	Impact of Chukwin-mini unit on students' understanding of natural selection	Instruction on evolution can be fraught with controversy, which may lead to teachers avoiding it and students struggling to learn it. Yet it is national science standard, a foundation in the field of biology, and a key to science literacy. A constructivist mini-unit incorporating simulation-based games involving a population of imaginary creatures called Chukwins was created to maximize student learning and minimize tension. It was tested in an elementary, junior high, and high school classrooms in three different locations. Changes in understanding were assessed with pretest/posttest data. Surveys and interviews provided additional evidence on students' attitudes towards the mini-unit, its impact on learning and engagement, and understanding of evolution. Students made statistically significant improvements on assessments regarding natural selection, reducing their number of misconceptions and slightly improving their ability to apply correct concepts. Retention scores indicate that the changes, though small, are long-lasting. Little change was found in students' attitudes towards evolution after treatment. The vast majority of students viewed the mini-unit favorably and found it to be a valuable learning opportunity, which was echoed by the classroom teachers. The mini-unit could be a valuable tool for teachers in helping students learn about natural selection and evolution in a way that is fun, motivating, and leads to conceptual change even for students with strong opposition to the theory of evolution.	['culture', 'evolution', 'learning and scholarship', 'teaching', 'intellectual life', 'humanities', 'civilization', 'auxiliary sciences of history', 'philosophy']
68854	http://scholarworks.montana.edu/xmlui/handle/1/10032	The impact of argument driven inquiry on student understanding of concepts being reinforced during science laboratory activities	This action based research project focused on Argument Driven Inquiry as a means to improve student learning during science laboratory investigations. The goal of the research was to determine if using argumentation, as part of the laboratory experience, would help students use their data to explain what was happening in the investigation. After students presented an oral argument in class and listened to other arguments, each individual wrote a conclusion to the laboratory investigation. The objective was to use argumentation as a means to help students gain a better understanding of the concepts covered by the laboratory investigation.	['chemistry', 'inquiry-based learning', 'education', 'learning', 'physical sciences', 'science', 'teaching', 'active learning', 'civilization', 'auxiliary sciences of history', 'comprehension']
68855	http://scholarworks.montana.edu/xmlui/handle/1/10033	The effect of supplemental online tutorials on chemistry comprehension in students diagnosed with ADHD	Students who are diagnosed with Attention Deficit Hyperactive Disorder (ADHD) have difficulty concentrating for extended periods. This population is predisposed to a host of comorbidities with other academically debilitating disorders such as anxiety and daytime drowsiness. This project was designed in order to assist this population of learners in a high school chemistry course. For the first treatment, students watched daily tutorial videos in order to improve comprehension, while also increasing confidence levels and decreasing anxiety. The tutorials explained chemistry concepts and demonstrated how to solve multistep chemistry problems. A second treatment was implemented in which multiple choice quizzes were interspersed throughout the tutorial videos in order to measure whether improved focus could be obtained. Data concluded that the tutorials were extremely successful. The population of ADHD students performed better on formative assessments in addition to increasing their confidence levels and decreasing anxiety levels surrounding the study of chemistry.	['high school students', 'chemistry', 'students', 'physical sciences', 'science', 'persons']
68856	http://scholarworks.montana.edu/xmlui/handle/1/10035	The effects of two-column notes on science assessment scores	This project examined the effects of two-column, teacher-guided notes on student assessment scores. It also measured the value that students placed on notes and if that value changed as study time and assessment results increased. The fundamental idea was that using notes as an organized study tool would improve both test scores and the value placed on notes. Two high school science classes were used to conduct this study. All procedures and routines were kept similar between the two classes with the exception of one class using the two-column, teacher-guided note style. Students were led through four units of instruction and given quizzes, and pre and post unit tests. All assessments were in direct correlation with the material covered in the notes regardless of the note style used for each class. After each quiz and unit test students were asked to take surveys to share their opinions on the helpfulness of the notes. The surveys also measured the amount of study time each student used to prepare for assessments. Calculating the improvement on assessments for each student showed that there was not a strong correlation between the two-column note style and unit assessment scores. Quiz scores throughout the four units were eight percent higher for the Implementation Class and showed that the two-column notes helped keep students current on the unit content. A final survey determined that student motivation and lower semester goals had a significant impact on student performance and preparation for assessments.	['persons', 'high school students', 'students']
68857	http://scholarworks.montana.edu/xmlui/handle/1/10036	The effect of math strategy notebooks on executive function at Midtown International School	Within a second grade classroom of gifted learners, many students could master advanced content and concepts, but had difficulty with the application and analysis within problem-solving scenarios. The executive functions that support these higher-order thinking skills such as working memory, inhibition, and cognitive flexibility are not fully developed until later grades. To determine if these executive functions could be strengthened or supported in the math classroom, a strategy notebook was implemented for the students to utilize within their daily lessons. The notebook required students to record multiple strategies to increase cognitive flexibility. Additionally, the notebook layout was designed to assist working memory and increase student inhibition when solving the math problems. The results of the treatment concluded that the notebooks did increase the executive functions of cognitive flexibility. In contrast, the strategy notebooks did not increase the executive functions of working memory and inhibition.	['education', 'mathematics', 'science', 'civilization', 'auxiliary sciences of history']
68858	http://scholarworks.montana.edu/xmlui/handle/1/10037	The effects of a digital learning environment on the work flow of students and teacher in a language-based learning difference science classroom	Students at Middlebridge High School typically have challenges sorting and organizing their work in binders as well as completing multistep tasks. In other words, their executive functioning ability is often impaired. When attempting to complete something like a lab, or even something as simple as a small homework assignment, some of the assignment can easily go missing in the shuffle of the school day. Technology can often be sold as a 'silver bullet' to solve many of these issues. But, how well can technology really help these students? Is the current state of technology in education robust enough to handle the day-to-day issues of a pupil who is susceptible to misplacing parts, or the whole of, an assignment? Students in a chemistry class were cycled through four phases where they alternately used completely digital methods of managing a workflow to complete homework and lab assignments, and analog methods such as traditional paper with a writing implement and a physical binder organization system. As these phases were cycled through, data was collected to see how well they kept track of artifacts (items of school work) and how efficiently they completed their work. Some of the technology solutions employed were Google Drive, Google Classroom, Google Docs, GoodReader, and DocHub. In addition, the effect of these technology solutions were measured for the teacher. For these students, it turned out that technology hindered more than it helped. Some of the technology was very frustrating to use by the students, since a single bug in the software, or one user-unfriendly feature, could stop a student working in his or her tracks. Students kept track of assignments less efficiently when using digital methods of work management, evidenced by longer times of retrieval to find assignments and a lower completion rate of assignments. However, there were some promising results for the teacher's use of these digital methods. Some of the methods made it easier and faster for the teacher to grade and return work for students. The technology solutions utilized seemed immature and too fragmented for efficient use by students, seemingly turning a workflow into a 'workslow.'	['persons', 'organization', 'high school students', 'students']
